"#iterations","runtime(s)","min_dt","max_dt","W_MHD3D","min_dW","max_dW","sum_dW","normF_X1","normF_X2","normF_LA","tau","normV_X1","normV_X2","normV_LA","X1_axis_0","X2_axis_0","X1_axis_1","X2_axis_1" 
  0.000000000000000E+00,  0.000000000000000E+00,  0.500000000000000E+00,  0.500000000000000E+00,  0.101503666645973E+03,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.644785197782551E-01,  0.544944627261992E-01,  0.108954636760276E-04,  0.750000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.597498000000000E+01,  0.000000000000000E+00,  0.525778000000000E+01, -0.302426527049439E-16
  0.100000000000000E+01,  0.520000000000000E+00,  0.500000000000000E+00,  0.500000000000000E+00,  0.100925067515458E+03, -0.578599130515258E+00, -0.578599130515258E+00, -0.578599130515258E+00,  0.164287933841215E-01,  0.266394880667045E-01,  0.114876995510708E+00,  0.750000000000000E-01,  0.299900091991884E-01,  0.253462617331159E-01,  0.506765752373376E-05,  0.597429718932530E+01,  0.000000000000000E+00,  0.525757223982057E+01, -0.302562873255518E-16
  0.200000000000000E+01,  0.000000000000000E+00,  0.450000000000000E+00,  0.450000000000000E+00,  0.100819685763668E+03, -0.105381751789977E+00, -0.105381751789977E+00, -0.105381751789977E+00,  0.130789566371172E-01,  0.206708530775320E-01,  0.109506880330109E+00,  0.750000000000000E-01,  0.687716932358574E-02,  0.111514136093182E-01,  0.480880446323893E-01,  0.597401733584626E+01,  0.000000000000000E+00,  0.525744522992861E+01, -0.302505908220078E-16
  0.400000000000000E+01,  0.000000000000000E+00,  0.450000000000000E+00,  0.450000000000000E+00,  0.100606696170056E+03, -0.122609229375627E+00, -0.903803642363386E-01, -0.318371345401943E+00,  0.647707995723456E-02,  0.736345456601178E-02,  0.796000113544888E-01,  0.688103556814095E-01,  0.130581554846147E-01,  0.207013944924200E-01,  0.116312682724570E+00,  0.597174887258703E+01,  0.000000000000000E+00,  0.525689650700775E+01, -0.302254224924246E-16
  0.800000000000000E+01,  0.000000000000000E+00,  0.405000000000000E+00,  0.405000000000000E+00,  0.100521954390853E+03, -0.219558088984684E-01, -0.192198411213695E-01, -0.411756500198379E-01,  0.393809022735829E-02,  0.530397082136003E-02,  0.423764095532270E-01,  0.750000000000000E-01,  0.524465230217005E-02,  0.753505181272291E-02,  0.559888285383260E-01,  0.597210544089135E+01,  0.000000000000000E+00,  0.525590316317247E+01, -0.302280607615154E-16
  0.160000000000000E+02,  0.119000000000000E+01,  0.405000000000000E+00,  0.405000000000000E+00,  0.100438644892450E+03, -0.219558088984684E-01, -0.675107391570862E-02, -0.124485148422494E+00,  0.254925298084924E-02,  0.288014476013868E-02,  0.262694294061175E-01,  0.589164436388182E-01,  0.535174504122344E-02,  0.772928813281884E-02,  0.485572694892627E-01,  0.597682053757466E+01,  0.000000000000000E+00,  0.525338073514960E+01, -0.301536420293647E-16
  0.320000000000000E+02,  0.950000000000000E+00,  0.405000000000000E+00,  0.405000000000000E+00,  0.100405586271198E+03, -0.219558088984684E-01, -0.802765155796692E-03, -0.157543769674547E+00,  0.113632820263089E-02,  0.134079769137954E-02,  0.155645267379363E-01,  0.633008042282039E-01,  0.228616549541640E-02,  0.226640354983421E-02,  0.213919656159000E-01,  0.598036758095432E+01,  0.000000000000000E+00,  0.524633243097460E+01, -0.297898831578044E-16
  0.640000000000000E+02,  0.360000000000000E+00,  0.405000000000000E+00,  0.405000000000000E+00,  0.100392622814827E+03, -0.219558088984684E-01, -0.193033399057185E-03, -0.170507226045430E+00,  0.449389300074449E-03,  0.178869711790618E-03,  0.286646926685790E-02,  0.628476229881261E-01,  0.126662443700266E-02,  0.444796302243988E-03,  0.963348321813269E-02,  0.597802244353632E+01,  0.000000000000000E+00,  0.523666497862996E+01, -0.295493973164632E-16
  0.100000000000000E+03,  0.182000000000000E+01,  0.405000000000000E+00,  0.405000000000000E+00,  0.100386027804904E+03, -0.219558088984684E-01, -0.173420857592532E-03, -0.177102235968675E+00,  0.291541747380089E-03,  0.999939823853448E-04,  0.228434621616761E-02,  0.257748449479256E-01,  0.198831587606564E-02,  0.644275043315977E-03,  0.150144759279440E-01,  0.597647858192984E+01,  0.000000000000000E+00,  0.522704728276110E+01, -0.296323737606193E-16
