## MHD3D Solution... outputLevel and fileID:
0000,00010000
## grid: (*)nElems, gridType #################################################################################
      20,       4
## grid: sp(0:nElems)
  0.737806440415453E-18,  0.432357594936709E-01,  0.914556962025316E-01,  0.143947784810127E+00,  0.200000000000000E+00,  0.258900316455696E+00,  0.319936708860759E+00,  0.382397151898734E+00,  0.445569620253165E+00,  0.508742088607595E+00,  0.571202531645570E+00,  0.632238924050633E+00,  0.691139240506329E+00,  0.747191455696202E+00,  0.799683544303797E+00,  0.847903481012658E+00,  0.891139240506329E+00,  0.928678797468354E+00,  0.959810126582278E+00,  0.983821202531646E+00,  0.100000000000000E+01
## global: (*)nfp,degGP,mn_nyq(2),(*)hmap #######################################################################
       2,       7,      44,      44,       1
## X1_base: (*)s%nbase,(*)s%deg,(*)s%continuity(only spline if =deg-1),(*)f%modes,(*)f%sin_cos(2=cos,1=sin,3=sin&cos),f%excl_mn_zero ##
      24,       4,       3,      60,       2,       0
## X2_base: (*)s%nbase,(*)s%deg,(*)s%continuity(only spline if =deg-1),(*)f%modes,(*)f%sin_cos(2=cos,1=sin,3=sin&cos),f%excl_mn_zero ##
      24,       4,       3,      59,       1,       0
## LA_base: (*)s%nbase,(*)s%deg,(*)s%continuity(only spline if =deg-1),(*)f%modes,(*)f%sin_cos(2=cos,1=sin,3=sin&cos),f%excl_mn_zero ##
      23,       3,       2,      74,       3,       1
## (*)X1: m-modenumber,n-modenumber,X1(1:nbase,iMode) as spline coefficients!! ###################################
       0,       0,  0.403054177526749E+01,  0.403054177526749E+01,  0.403057311315058E+01,  0.403072677315335E+01,  0.403088668829608E+01,  0.403105524562740E+01,  0.403086420644835E+01,  0.403033900364159E+01,  0.402939541172155E+01,  0.402807822569866E+01,  0.402640758746478E+01,  0.402444394348331E+01,  0.402224150169355E+01,  0.401985817002797E+01,  0.401734300416094E+01,  0.401473715614915E+01,  0.401208152191526E+01,  0.400942884710148E+01,  0.400686211785703E+01,  0.400450085239540E+01,  0.400248847904882E+01,  0.400111292485753E+01,  0.400032125490108E+01,  0.400000000000000E+01
       0,       2, -0.357708812977169E-01, -0.357708812977169E-01, -0.358029780714499E-01, -0.359603591657894E-01, -0.352541158681228E-01, -0.334094259840140E-01, -0.311900673568420E-01, -0.284830780662843E-01, -0.255042297570132E-01, -0.223715948404210E-01, -0.191834989878758E-01, -0.160789165570738E-01, -0.131432393242236E-01, -0.104597745400925E-01, -0.806772586203777E-02, -0.599061162717718E-02, -0.424036982635802E-02, -0.282497680520277E-02, -0.174197680458686E-02, -0.968514171274499E-03, -0.459347750798760E-03, -0.185609024190134E-03, -0.509915444251990E-04,  0.000000000000000E+00
       0,       4, -0.386822523981527E-03, -0.386822523981532E-03, -0.492119132554588E-03, -0.100842322046863E-02, -0.178318941410229E-02, -0.245640859484578E-02, -0.315070216894731E-02, -0.372855549756425E-02, -0.417948044639733E-02, -0.449078867625289E-02, -0.462010043915491E-02, -0.457940630537828E-02, -0.436426948306200E-02, -0.400551220764548E-02, -0.353512331192835E-02, -0.299392796718005E-02, -0.242082782565725E-02, -0.185103074491109E-02, -0.131620569984650E-02, -0.843888583067415E-03, -0.457466070104867E-03, -0.202070572214437E-03, -0.579911419943728E-04,  0.000000000000000E+00
       0,       6,  0.189801188474857E-03,  0.189801188474857E-03,  0.185725176954617E-03,  0.165739144747098E-03,  0.169883354591638E-03,  0.154709197956478E-03,  0.146560379642338E-03,  0.161313553885917E-03,  0.180767704956787E-03,  0.207292532312782E-03,  0.230915236109123E-03,  0.245114191406258E-03,  0.246890949085666E-03,  0.232995154789921E-03,  0.204819844631898E-03,  0.165438152340004E-03,  0.121274257121384E-03,  0.792606925401190E-04,  0.452530203220371E-04,  0.219855203642258E-04,  0.870881546197847E-05,  0.303956840035822E-05,  0.771354765708126E-06,  0.000000000000000E+00
       1,      -6,  0.000000000000000E+00,  0.826194064616555E-05,  0.257382505948711E-04,  0.500777473806935E-04,  0.623154520003218E-04,  0.949795787659533E-04,  0.139440243194866E-03,  0.185113695801502E-03,  0.221084897782006E-03,  0.234520313962375E-03,  0.226863836113936E-03,  0.199958490658175E-03,  0.161618673743521E-03,  0.118750595824757E-03,  0.760812936404177E-04,  0.368096244286563E-04,  0.382595433829756E-05, -0.199585229416455E-04, -0.325169880845789E-04, -0.337194014556833E-04, -0.255556993074655E-04, -0.137093599561120E-04, -0.429302686715120E-05,  0.000000000000000E+00
       1,      -4,  0.000000000000000E+00, -0.129866283968970E-04, -0.404569713553841E-04, -0.732539131837755E-04, -0.476953954950933E-04,  0.251779176126594E-04,  0.783977915150138E-04,  0.178595366553229E-03,  0.273956490050226E-03,  0.354811342258004E-03,  0.409786838106919E-03,  0.427460344583350E-03,  0.405242168169312E-03,  0.343649281908207E-03,  0.251101333498346E-03,  0.146614923531851E-03,  0.533864598036617E-04, -0.105758320815427E-04, -0.401741723959920E-04, -0.426312139183150E-04, -0.301214526430319E-04, -0.151808358697764E-04, -0.461432039520585E-05,  0.000000000000000E+00
       1,      -2,  0.000000000000000E+00,  0.402106495737170E-02,  0.125267394143190E-01,  0.258755167789256E-01,  0.441576719001736E-01,  0.635495168589346E-01,  0.835756550195892E-01,  0.103915523472853E+00,  0.124105453551350E+00,  0.143810769307214E+00,  0.162711138869664E+00,  0.180597062521406E+00,  0.197388145550736E+00,  0.213115536990693E+00,  0.227863812072681E+00,  0.241672206390717E+00,  0.254480095854239E+00,  0.266127620432239E+00,  0.276399175187625E+00,  0.285078285142664E+00,  0.291980192586704E+00,  0.296469612643983E+00,  0.298988054608574E+00,  0.300000000000000E+00
       1,       0,  0.000000000000000E+00,  0.110564382359740E-01,  0.344438903874577E-01,  0.712215569472740E-01,  0.122093364779277E+00,  0.176728978679980E+00,  0.234480701760997E+00,  0.294540166800087E+00,  0.356253798348603E+00,  0.418875611152128E+00,  0.481703940719215E+00,  0.544035376689897E+00,  0.605187009578167E+00,  0.664486918656353E+00,  0.721256340901759E+00,  0.774795751059158E+00,  0.824383679690009E+00,  0.869293198757300E+00,  0.908808457105342E+00,  0.942233454784990E+00,  0.968897032186362E+00,  0.986294203455168E+00,  0.996069692874604E+00,  0.100000000000000E+01
       1,       2,  0.000000000000000E+00, -0.654859207180923E-04, -0.204006916784177E-03, -0.411818852288254E-03, -0.630961089558154E-03, -0.829198458115231E-03, -0.952084345576235E-03, -0.105405163474520E-02, -0.108493981297742E-02, -0.107962086885890E-02, -0.102679359563845E-02, -0.946355226924984E-03, -0.849650165077814E-03, -0.751367912476378E-03, -0.660074117174783E-03, -0.577025426515264E-03, -0.497490479092943E-03, -0.414872155424956E-03, -0.324650422523957E-03, -0.228213343907125E-03, -0.133710779275361E-03, -0.619040946407528E-04, -0.181492721243665E-04,  0.000000000000000E+00
       1,       4,  0.000000000000000E+00, -0.177332659489303E-04, -0.552440718719781E-04, -0.986916356983223E-04, -0.528275689247918E-04,  0.582483419171252E-04,  0.209918582924070E-03,  0.409253140117872E-03,  0.593144983246173E-03,  0.756904200368255E-03,  0.877316133986529E-03,  0.943965773138196E-03,  0.953316808530785E-03,  0.905327728395228E-03,  0.808542057751176E-03,  0.676550951055321E-03,  0.527723192428324E-03,  0.380954631191736E-03,  0.251644293251153E-03,  0.148923838408387E-03,  0.749076977434207E-04,  0.315770732164357E-04,  0.886724740701654E-05,  0.000000000000000E+00
