## MHD3D Solution... outputLevel and fileID:
0000,00200000
## grid: nElems, gridType #################################################################################
       4,       0
## grid: sp(0:nElems)
  0.000000000000000E+00,  0.250000000000000E+00,  0.500000000000000E+00,  0.750000000000000E+00,  0.100000000000000E+01
## global: nfp,degGP,mn_nyq(2),hmap #######################################################################
       2,       8,      25,      25,       1
## X1_base: s%nbase,s%deg,s%continuity,f%modes,f%sin_cos,f%excl_mn_zero ###################################
      10,       6,       5,      85,       2,       0
## X2_base: s%nbase,s%deg,s%continuity,f%modes,f%sin_cos,f%excl_mn_zero ###################################
      10,       6,       5,      84,       1,       0
## LA_base: s%nbase,s%deg,s%continuity,f%modes,f%sin_cos,f%excl_mn_zero ###################################
      10,       6,       5,     168,       3,       1
## X1: m,n,X1(1:nbase,iMode) ##############################################################################
       0,       0,  0.402220953652542E+01,  0.402220953652542E+01,  0.402167487686009E+01,  0.401926890836599E+01,  0.401301730575522E+01,  0.400369339055868E+01,  0.399516821368182E+01,  0.399215018159019E+01,  0.399585903211654E+01,  0.400000000000000E+01
       0,       2, -0.432319464229924E-01, -0.432319464229924E-01, -0.425781502015290E-01, -0.396360672049516E-01, -0.319467607149355E-01, -0.201729043483484E-01, -0.856633434881230E-02, -0.456606124358279E-02, -0.197748374987515E-02,  0.000000000000000E+00
       0,       4, -0.124370422137403E-03, -0.124370422137403E-03, -0.257799838168196E-03, -0.858232210306845E-03, -0.232144764369152E-02, -0.384055630609340E-02, -0.455789232329396E-02, -0.412667001411029E-02, -0.196728051190079E-02,  0.000000000000000E+00
       0,       6,  0.143950765732871E-03,  0.143950765732871E-03,  0.937766034713681E-04, -0.132007126705397E-03, -0.708439338676296E-03, -0.149810812418002E-02, -0.168432875318274E-02, -0.133404941946862E-02, -0.609976758013027E-03,  0.000000000000000E+00
       0,       8, -0.380700664312261E-06, -0.380700664312261E-06, -0.208191735711383E-05, -0.973739247473482E-05, -0.460420770817382E-04, -0.212483780049088E-03, -0.222246636904071E-03, -0.895290721470883E-04, -0.480899044467353E-04,  0.000000000000000E+00
       0,      10, -0.196074138670107E-06, -0.196074138670107E-06,  0.772145773695520E-06,  0.512913537934370E-05,  0.123017413164855E-04, -0.538413552994704E-05,  0.654944583311506E-05,  0.226986096603324E-04,  0.182384334746786E-04,  0.000000000000000E+00
       0,      12,  0.119604925757131E-06,  0.119604925757140E-06,  0.332315461010075E-07, -0.355448662352723E-06, -0.118339742589005E-05, -0.117310008284141E-05, -0.451015146223059E-05, -0.375914157940449E-05, -0.836627634913807E-06,  0.000000000000000E+00
       1,     -12, -0.324183915999445E-18, -0.108090712173772E-06, -0.324272136520849E-06, -0.518358598444832E-06,  0.397349990316811E-08,  0.179283952230690E-05,  0.249682954909894E-06, -0.330334405710856E-05, -0.191156743080684E-05,  0.000000000000000E+00
       1,     -10, -0.373903589359900E-18,  0.216863754275175E-06,  0.650591262826941E-06,  0.370796195073434E-05,  0.222251327517322E-04,  0.594861202822957E-04, -0.377755811553477E-05, -0.333646581528120E-04, -0.101127552226287E-04,  0.000000000000000E+00
       1,      -8,  0.413382031505676E-17, -0.460855104303203E-04, -0.138256531290967E-03, -0.255947383302360E-03, -0.289474443640125E-03, -0.560197080723195E-04,  0.208610870219604E-03,  0.249334542355118E-03,  0.851560459611916E-04,  0.000000000000000E+00
       1,      -6, -0.151947184791880E-16, -0.160326133503782E-03, -0.480978400511312E-03, -0.898170817775367E-03, -0.107171147464399E-02, -0.321216260533596E-03,  0.132573966536153E-02,  0.205318444667077E-02,  0.101357024774893E-02,  0.000000000000000E+00
       1,      -4,  0.144917352198356E-16, -0.314374703781204E-03, -0.943124111343629E-03, -0.172310804386823E-02, -0.178424554765335E-02,  0.409627600620506E-03,  0.399363710868907E-02,  0.584111599008500E-02,  0.293265746184200E-02,  0.000000000000000E+00
       1,      -2,  0.788417258009806E-17,  0.133904470761300E-01,  0.401713412283917E-01,  0.803155850205109E-01,  0.133678658792368E+00,  0.186096187794210E+00,  0.233524570248116E+00,  0.270204693761208E+00,  0.290976815030561E+00,  0.300000000000000E+00
       1,       0,  0.226759205955274E-16,  0.419311460610485E-01,  0.125793438183146E+00,  0.251682485352121E+00,  0.420108202159190E+00,  0.589782714913652E+00,  0.759665568739183E+00,  0.883166989897990E+00,  0.961621907808211E+00,  0.100000000000000E+01
       1,       2, -0.438519205868960E-18,  0.626228393007288E-04,  0.187868517902140E-03,  0.400458430494018E-03,  0.832240015422227E-03,  0.168456908534035E-02,  0.340451176325978E-02,  0.204780138240608E-02,  0.457492781201678E-03,  0.000000000000000E+00
