"#iterations","runtime(s)","min_dt","max_dt","W_MHD3D","min_dW","max_dW","sum_dW","normF_X1","normF_X2","normF_LA","tau","normV_X1","normV_X2","normV_LA","X1_axis_0","X2_axis_0","X1_axis_1","X2_axis_1" 
  0.000000000000000E+00,  0.000000000000000E+00,  0.400000000000000E+00,  0.400000000000000E+00,  0.941502149525131E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.374089414537714E-02,  0.184746631936903E-01,  0.186293282339707E+00,  0.750000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -0.408033626484325E-17,  0.000000000000000E+00, -0.154511492413334E-16,  0.262827118048342E-33
  0.100000000000000E+01,  0.102000000000000E+01,  0.400000000000000E+00,  0.400000000000000E+00,  0.939429202447737E-01, -0.207294707739378E-03, -0.207294707739378E-03, -0.207294707739378E-03,  0.230468828845404E-02,  0.120845971088202E-01,  0.121571589951411E+00,  0.750000000000000E-01,  0.139196061223336E-02,  0.687429328137315E-02,  0.693184306380304E-01,  0.362862833120141E-04,  0.000000000000000E+00, -0.642610631185578E-04,  0.236651959666088E-18
  0.200000000000000E+01,  0.202000000000000E+01,  0.400000000000000E+00,  0.400000000000000E+00,  0.937981410986711E-01, -0.207294707739378E-03, -0.144779146102683E-03, -0.352073853842061E-03,  0.929617758844423E-03,  0.254984425192810E-02,  0.364084605857155E-01,  0.750000000000000E-01,  0.204436591938805E-02,  0.104092463075784E-01,  0.104734390629864E+00,  0.305265375160617E-04,  0.000000000000000E+00, -0.163407285267848E-03,  0.602166086339814E-18
  0.400000000000000E+01,  0.000000000000000E+00,  0.360000000000000E+00,  0.360000000000000E+00,  0.937872725086448E-01, -0.544400185172045E-05, -0.542458817455460E-05, -0.108685900262750E-04,  0.610061032523141E-04,  0.974312268868825E-03,  0.189566078785471E-01,  0.750000000000000E-01,  0.452397757479565E-03,  0.137898828343223E-02,  0.201027024179229E-01, -0.195845324258718E-03,  0.000000000000000E+00, -0.187266330844416E-03,  0.695750140263204E-18
  0.800000000000000E+01,  0.184000000000000E+01,  0.324000000000000E+00,  0.324000000000000E+00,  0.937837432993254E-01, -0.633353845119755E-06, -0.306558470802853E-06, -0.155110648110413E-05,  0.253185732149225E-03,  0.112947979079866E-03,  0.607082387887721E-02,  0.750000000000000E-01,  0.174598040354178E-03,  0.274247412267485E-03,  0.876526433143366E-02, -0.190237364624616E-03,  0.000000000000000E+00, -0.199880008194353E-03,  0.733868602655769E-18
  0.160000000000000E+02,  0.152000000000000E+01,  0.324000000000000E+00,  0.324000000000000E+00,  0.937825833188326E-01, -0.633353845119755E-06, -0.409220538150068E-07, -0.271108697387501E-05,  0.948401592444128E-04,  0.126623639315733E-03,  0.542988669911571E-02,  0.711934975995700E-01,  0.113782904621998E-03,  0.330127475994528E-03,  0.541183443358288E-02, -0.478883209777074E-03,  0.000000000000000E+00, -0.293327232529101E-03,  0.713306133852370E-18
  0.320000000000000E+02,  0.600000000000000E-01,  0.324000000000000E+00,  0.324000000000000E+00,  0.937817760426502E-01, -0.633353845119755E-06, -0.146302193415604E-07, -0.351836315629073E-05,  0.230087720548649E-04,  0.298834278524631E-04,  0.190579490340731E-02,  0.659933926551817E-01,  0.703030274795216E-04,  0.114274782739660E-03,  0.258504289185622E-02, -0.699935024760523E-03,  0.000000000000000E+00, -0.270452215840138E-03,  0.737905908851163E-18
  0.640000000000000E+02,  0.668000000000000E+01,  0.324000000000000E+00,  0.324000000000000E+00,  0.937812836196455E-01, -0.633353845119755E-06, -0.828346559400561E-08, -0.401078616095452E-05,  0.114469214202710E-04,  0.257787854049297E-04,  0.410844046722775E-03,  0.411921356595492E-01,  0.387824970568382E-04,  0.853177030791794E-04,  0.114812101068705E-02, -0.825163121360411E-03,  0.000000000000000E+00, -0.859159222585155E-04,  0.831281526989799E-18
  0.100000000000000E+03,  0.816000000000000E+01,  0.324000000000000E+00,  0.324000000000000E+00,  0.937810993476633E-01, -0.633353845119755E-06, -0.311227046911888E-08, -0.419505814322485E-05,  0.432634926540805E-05,  0.844265373792828E-05,  0.168062302104501E-03,  0.278623509703117E-01,  0.321937609006699E-04,  0.583036074822554E-04,  0.943441062766198E-03, -0.893777977074877E-03,  0.000000000000000E+00,  0.595389894915542E-04,  0.862254622041906E-18
